tarih,platform,metin,etkilesim
2026-06-19 13:24:57,Telegram,"🚨 Ülkemizde fabrika kurma planlarını durduran BYD'den Türkiye'deki kullanıcılara yönelik açıklama geldi!

BYD Türkiye distribütörü ALJ, satış, servis, pazarlama ve yedek parça hizmetlerinin aynı şekilde süreceğini açıkladı. Şirket, Türkiye’deki müşterilerin memnuniyeti ve güveninin öncelikleri olduğunu vurguladı.",732
2026-06-19 12:37:56,Telegram,Toplumsal olaylara tepki gösterme ve imza kampanyaları başlatmaya imkân sunan küresel kampanya platformu Changeorg’a erişim engeli getirildi.(EngelliWeb),1082
2026-06-19 11:04:10,Telegram,"Türk Takımları küresel PUBG MOBILE turnuvasında önemli başarılar elde etti.

Endonezya’da düzenlenen 2026 PMGO Sezon 1’de Türk ekipleri yalnızca aldıkları derecelerle değil, izleyici ve oyuncu katılımı rakamlarıyla da dikkatleri üzerine çekti. Turnuvanın Türkçe yayını 82 binin üzerinde eş zamanlı izleyiciye ulaşarak rekor kırdı.

ULF Esports turnuvayı ikinci, S2G Esports ise dördüncü sırada tamamladı.",781
2026-06-19 10:32:41,Telegram,"HBO Max'e yaza özel %30 indirim geldi!

""Yaz Fırsatı"" adı altında 30 Haziran tarihine kadar geçerli olan bu kampanya kapsamında, yıllık abone olduğunuz takdirde aylık standart aboneliğin fiyatı 229,90 TL'den 160,90 TL'ye düşüyor. (iş birliği ya da reklam değil)",769
2026-06-19 10:03:31,Telegram,"Apple Music tarihi boyunca en çok dinlenen 20 sanatçıyı açıkladı.

1. Drake
2. Taylor Swift
3. Future
4. Youngboy Never Broke Again
5. Bad Bunny
6. Lil Baby
7. The Weeknd
8. Morgan Wallen
9. Kanye West
10. Post Malone
11. Travis Scott
12. Ariana Grande
13. Chris Brown
14. Kendrick Lamar
15. Lil Durk
16. Gunna
17. Rod Wave
18. Ed Sheeran
19. Justin Bieber
20. Eminem",766
2026-06-19 08:17:52,Telegram,"🚨 SON DAKİKA - TurkNet, internet abonelik ücretlerine zam yaptı!

100 Mbps fiber internet: 699 TL ➡️ 949,90 TL
GigaFiber (1000/1000): 699 TL ➡️ 949,90 TL
1000/50 paket yükseltmesi: 200 TL ➡️ 350 TL",866
2026-06-19 07:29:04,Telegram,"Instagram Plus Türkiye'de kullanıma sunulmaya başladı.

📌 Özellik ilk ay ücretsiz.",869
2026-06-19 07:09:09,Telegram,"Epic Games Store yıllar sonra NİHAYET baştan aşağı yenileniyor!

Yıllardır beklenen özellikler yakında geliyor:
📌 Kullanıcı incelemeleri ve oyuncu profilleri, topluluk sayfaları, daha geniş kontrolcü desteği ve bölgeler arası hediyeleşme gibi yenilikler platforma eklenmeye hazırlanıyor. 

📌 Oyuncular için sosyal taraf güçlenirken, kullanım deneyimi de daha pratik hale gelecek.",869
2026-06-18 15:22:33,Telegram,"Apple eski CEO'su Tim Cook, RAM krizi nedeniyle iPhone'lara zam gelmesinin kaçınılmaz olduğunu açıkladı!

""Ne yazık ki artık fiyat artışları kaçınılmaz.""

📌 Şirketin şimdiye kadar maliyetleri müşteriye yansıtmamaya çalıştığı, ancak bellek krizinin sürdürülemez hale geldiği belirtiliyor. Zamların iPhone, iPad ve Mac modellerini etkilemesi bekleniyor.",960
2026-06-18 13:36:32,Telegram,🚨SON DAKİKA - GTA 6'nın ön sipariş tarihi 25 Haziran olarak açıklandı!,965
