tarih,platform,metin,etkilesim
2026-06-19 08:16:10,Twitter/X, BREAKING NEWS - TurkNet has increased internet subscription fees!  100 Mbps fib...,282
2026-06-19 14:00:00,Twitter/X," A statement has come from BYD, which halted its factory establishment plans in ...",100
2026-06-19 16:00:01,Twitter/X,"While everyone's waiting for June 25th for GTA 6, PC users:...",418
2026-06-19 17:00:30,Twitter/X,"4 games with a total value exceeding 3,400 TL are going free on Xbox this weeken...",15
2026-06-19 15:00:30,Twitter/X,The launch date of the new Dacia Spring in Turkey has been announced.   The full...,10
2026-06-18 14:52:17,Twitter/X,GTA series cover art designs from past to present!  (2001 - 2026)...,127
2026-06-19 13:00:00,Twitter/X,EA Summer Sale has started on Steam! ...,37
2026-06-19 11:44:08,Twitter/X,Getir Yemek and Getir Market are now officially Uber's!  The Competition Board a...,55
2026-06-19 11:30:00,Twitter/X,"Access to the global campaign platform Change.org, which enables reacting to soc...",17
2026-06-19 11:00:45,Twitter/X,Turkish Teams Achieved Significant Successes in the Global PUBG MOBILE Tournamen...,11
2026-06-19 09:00:02,Twitter/X,"HBO Max'e summer special 30% discount has arrived!  Under the ""Summer Opportunit...",28
2026-06-19 10:32:25,Twitter/X,Not a collaboration or advertisement....,2
2026-06-19 07:26:31,Twitter/X,Instagram Plus has started rolling out in Turkey.   The feature is free for the ...,153
2026-06-19 10:02:36,Twitter/X,Apple Music has announced the 20 most streamed artists in its history.  1. Drake...,20
2026-06-19 08:00:02,Twitter/X,"The game ""TBH: Task Bar Hero,"" which went viral on Steam, could cause your accou...",61
2026-06-19 07:08:06,Twitter/X,Epic Games Store is FINALLY getting a complete overhaul after years!  The long-a...,59
2026-06-19 07:00:11,Twitter/X,"EA SPORTS FC 26, Game Pass ve EA Play'e eklendi....",94
2026-06-18 16:51:13,Twitter/X,Can you access Roblox?  Latest status: Some users (including us) can access it o...,25
2026-06-18 17:19:42,Twitter/X,"Unfortunately, the latest news is like this... Also, thanks again for your parti...",5
2026-06-18 17:15:51,Twitter/X,BREAKING NEWS: After Family and Social Services Minister Mahinur Özdemir Göktaş ...,286
2026-06-18 17:15:53,Twitter/X,"We will continue to be close followers of the Roblox topic. Today, due to offici...",38
2026-06-18 16:00:01,Twitter/X,Google has updated the Android Switch app to make switching from iPhone to Andro...,22
2026-06-18 15:29:30,Twitter/X,Rockstar Games updated its profile following the announcement of the GTA 6 pre-o...,139
2026-06-18 15:21:31,Twitter/X,"New footage of Vice City, which will be featured in GTA VI, has arrived....",46
2026-06-18 15:00:00,Twitter/X,Rockstar Games is offering GTA 5 players an important opportunity before GTA 6 l...,83
2026-06-18 13:24:07,Twitter/X,BREAKING NEWS - GTA 6's pre-order date announced as June 25!...,150
2026-06-18 14:00:01,Twitter/X,Volvo Turkey has begun offering Google's artificial intelligence assistant Gemin...,28
2026-06-18 13:47:58,Twitter/X,The official cover art for GTA 6 has been revealed....,61
2026-06-18 12:17:56,Twitter/X,The news that an investigation has been launched into 4 million people who purch...,16
2026-06-18 11:00:30,Twitter/X,Apple's former CEO Tim Cook announced that price hikes for iPhones due to the RA...,25
2026-06-18 10:00:30,Twitter/X,Epic Games announced that it will increase the use of artificial intelligence in...,49
2026-06-18 09:30:00,Twitter/X,It is claimed that OpenAI is working on a new science-focused subscription packa...,47
2026-06-17 14:27:48,Twitter/X,"Threads, launched by Instagram as a rival to X, has been made accessible again i...",129
2026-06-18 08:40:29,Twitter/X,Turkish security researcher Ali Yabuz discovered a critical security vulnerabili...,49
2026-06-17 17:00:30,Twitter/X,The most used AI tools have been revealed. ChatGPT's market share is declining! ...,172
2026-06-18 07:48:18,Twitter/X,"Toyota Türkiye has launched the artificial intelligence assistant ""Toya,"" design...",15
2026-06-18 06:59:10,Twitter/X,New trailer for the Spider-Man: Brand New Day film has arrived.  It will hit the...,34
2026-06-17 16:30:00,Twitter/X,Aston Martin's hypercar Valkyrie is being recalled due to a gasket issue in the ...,20
2026-06-17 16:00:02,Twitter/X,"Apple's new iPhone model, reportedly prepared for the company's 20th anniversary...",35
2026-06-17 15:43:22,Twitter/X,The new trailer for Christopher Nolan's film ‘THE ODYSSEY’ has been released.   ...,16
2026-06-17 15:33:58,Twitter/X,MG's new model MG 07 has been introduced with a fastback design reminiscent of t...,46
2026-06-17 15:00:30,Twitter/X,Toplam değeri 6 bin TL'yi aşan 7 oyun Xbox Game Pass’e geliyor!  - EA SPORTS FC ...,18
2026-06-17 13:56:57,Twitter/X,Assassin's Creed and Far Cry series can be played for free!   Ubisoft+ Premium w...,45
2026-06-17 09:00:03,Twitter/X,Malicious software is being spread through the Wallpaper Engine application via ...,66
2026-06-17 13:00:01,Twitter/X,Sony has received a patent for a new PS controller that can change the hardness ...,50
2026-06-17 12:30:30,Twitter/X,Android 17 has officially been released!    The stable version has been released...,26
2026-06-17 12:00:30,Twitter/X,Turkey's first humanoid robot factory is being established!   DOF Robotics has a...,32
2026-06-17 08:17:25,Twitter/X,A critical security vulnerability has been discovered that will seriously impact...,54
2026-06-17 11:27:00,Twitter/X,iPhone 18 will come with higher RAM but the price will stay the same!   It's cla...,76
2026-06-17 10:00:30,Twitter/X,"Global chat is back in Clash of Clans after 7 years!  The feature, which was rem...",28
