tarih,platform,metin,etkilesim
2026-06-19 08:16:10,X/Twitter," SON DAKİKA - TurkNet, internet abonelik ücretlerine zam yaptı!  100 Mbps fiber internet: 699 TL  949,90 TL GigaFiber (1000/1000): 699 TL  949,90 TL 1000/50 paket yükseltmesi: 200 TL  350 TL",282
2026-06-19 14:00:00,X/Twitter," Ülkemizde fabrika kurma planlarını durduran BYD'den Türkiye'deki kullanıcılara yönelik açıklama geldi!  BYD Türkiye distribütörü ALJ, satış, servis, pazarlama ve yedek parça hizmetlerinin aynı şekilde süreceğini açıkladı. Şirket, Türkiye’deki müşterilerin memnuniyeti ve",105
2026-06-19 16:00:01,X/Twitter,Herkes GTA 6 için 25 Haziran'ı beklerken PC kullanıcıları:,432
2026-06-19 17:00:30,X/Twitter,"Toplam değeri 3.400 TL'den fazla 4 oyun, Xbox'ta bu hafta sonu ücretsiz oluyor!  - Assetto Corsa - Dead by Daylight - Two Point Museum - PGA TOUR 2K25",18
2026-06-19 07:26:31,X/Twitter,Instagram Plus Türkiye'de kullanıma sunulmaya başladı.   Özellik ilk ay ücretsiz. Kimler denedi?,156
2026-06-19 10:02:36,X/Twitter,Apple Music tarihi boyunca en çok dinlenen 20 sanatçıyı açıkladı.  1. Drake 2. Taylor Swift 3. Future 4. Youngboy Never Broke Again 5. Bad Bunny 6. Lil Baby 7. The Weeknd 8. Morgan Wallen 9. Kanye West 10. Post Malone 11. Travis Scott 12. Ariana Grande 13. Chris Brown 14.,22
2026-06-19 08:00:02,X/Twitter,"Steam'de viral olan ""TBH: Task Bar Hero"" adlı oyun, hesabınızın VAC ban yemesine sebep olabilir!   TBH: Task Bar Hero, Steam’de ücretsiz yayınlandıktan kısa süre sonra yüz binlerce oyuncuya ulaşarak en çok oynanan oyunlar arasına girdi.    Görev çubuğunda çalışan bu küçük",63
2026-06-19 07:08:06,X/Twitter,"Epic Games Store yıllar sonra NİHAYET baştan aşağı yenileniyor!  Yıllardır beklenen özellikler yakında geliyor:  Kullanıcı incelemeleri ve oyuncu profilleri, topluluk sayfaları, daha geniş kontrolcü desteği ve bölgeler arası hediyeleşme gibi yenilikler platforma eklenmeye",62
2026-06-19 07:00:11,X/Twitter,"EA SPORTS FC 26, Game Pass ve EA Play'e eklendi.",95
2026-06-18 16:51:13,X/Twitter,Roblox'a erişebiliyor musunuz?   Son durum: Bazı kullanıcılar (biz de dahil) PC'de erişebildik. Mobilde hala erişime engelli. BTK'da engelli olarak görünmeye devam ediyor.,26
2026-06-18 17:19:42,X/Twitter,Maalesef güncel haber bu şekilde... Ankete katılımınız için de ayrıca teşekkürler.,6
2026-06-18 12:17:56,X/Twitter,"2021-2024 arası sıfır araç alan 4 milyon kişiye inceleme başlatıldığı haberi yalanlandı!  Kurul, denetimlerin tüm araç alıcılarını kapsamadığını; yalnızca riskli görülen sınırlı işlem ve mükellef gruplarına yönelik, veri ve risk analizi temelli rutin çalışmalar yürütüldüğünü",17
2026-06-18 11:00:30,X/Twitter,"Apple eski CEO'su Tim Cook, RAM krizi nedeniyle iPhone'lara zam gelmesinin kaçınılmaz olduğunu açıkladı!  ""Ne yazık ki artık fiyat artışları kaçınılmaz.""   Şirketin şimdiye kadar maliyetleri müşteriye yansıtmamaya çalıştığı, ancak bellek krizinin sürdürülemez hale geldiği",26
2026-06-18 10:00:30,X/Twitter,"Epic Games, Unreal Engine 6’da yapay zekâ kullanımını artıracağını açıkladı.    Yeni motor, Claude ve Gemini gibi yapay zekâ modelleriyle entegre çalışacak ve geliştiricilerin tekrarlayan, zaman alan işleri daha hızlı yapmasını sağlayacak.   Amaç, oyun geliştiricilerinin",50
2026-06-18 09:30:00,X/Twitter,"OpenAI’ın ChatGPT için “ChatGPT for Science” adlı bilim odaklı yeni bir abonelik paketi üzerinde çalıştığı iddia ediliyor.   X’te paylaşılan bir sızıntıya göre bu paket, özellikle üniversiteler, akademiler, bilim merkezleri ve araştırma kurumları gibi yerler için tasarlanabilir.",48
2026-06-17 14:27:48,X/Twitter,"Instagram’ın X’e rakip olarak hayata geçirdiği Threads, Türkiye'de yeniden erişime açıldı.   Platform 23 Nisan 2024'te Türkiye’de erişime engellenmişti.",130
2026-06-18 08:40:29,X/Twitter,"Ali Yabuz adlı Türk güvenlik araştırmacısı, Apple’ın iPhone, iPad, Mac, Apple Watch ve Apple TV gibi ürünlerini etkileyen kritik bir güvenlik açığı keşfetti.    Apple tarafından doğrulanan ve CVE-2024-0258 olarak kayda geçen açık, uygulamaların korumalı alan dışına çıkıp",48
