Tarih/Kim,Mesaj
16:41 - 21.06.2026 Anadolu Ajansı:,1:03 #AJet’in katkılarıyla hazırlanan 60 saniyede bugün  •⁠  ⁠İran ile ABD heyetleri İsviçre’de bir araya geldi •⁠  ⁠İsrail'in Gazze'ye saldırılarında son 24 saatte 9 kişi hayatını kaybetti  •⁠  ⁠YKS maratonu sona erdi 16:41
18:13 - 21.06.2026 Anadolu Ajansı:,"0:53 ABD'nin Los Angeles şehir merkezinde bulunan soğuk hava deposunda çıkan yangını söndürme çalışmaları, 3. gününde sürüyor → California eyaleti Valisi Gavin Newsom, günlerdir süren yangınla mücadele kapsamında ""acil durum"" ilan etti  http://v.aa.com.tr/3973664 18:13"
19:51 - 21.06.2026 Anadolu Ajansı:,"Ölçme, Seçme ve Yerleştirme Merkezince düzenlenen 2026-YKS oturumlarının temel soru kitapçıkları ve cevap anahtarları erişime açıldı Cevap anahtarlarına ÖSYM'nin internet sitesinden ulaşılabilecek http://v.aa.com.tr/3973442 19:51"
21:08 - 21.06.2026 Anadolu Ajansı:,"0:33 Sıcak hava dalgasının etkisi altındaki Fransa'da başkent Paris'in de aralarında bulunduğu 35 vilayette alarm seviyesi kırmızıya yükseltildi  Serinlemek isteyen çok sayıda Parisli, kentteki Saint-Martin Kanalı’nda yüzdü  Fransa'da aşırı sıcak hava nedeniyle yarın 845 okul kapalı olacak http://v.aa.com.tr/3973882 21:08"
21:51 - 21.06.2026 Anadolu Ajansı:,"0:32 Suudi Arabistan Eğlence Otoritesi Başkanı Turki Al eş-Şeyh, Breaking Bad’de canlandırdığı “Gus Fring” karakteriyle tanınan Amerikalı oyuncu Giancarlo Esposito’nun Müslüman olduğunu duyurdu  Saudi Gazette internet sitesine göre, Al eş-Şeyh, Esposito’nun Kelime-i Şehadet getirerek İslam’ı kabul ettiğini açıkladı  Sosyal medyada paylaşılan görüntülerde Esposito’nun camide saf tuttuğu görüldü https://v.aa.com.tr/3973568 Düzenlendi21:51"
09:09 - 22.06.2026 Anadolu Ajansı:,"Türkiye ve dünya gündemi, lider programları, etkinlikler ile bir bakışta bugünün gündemi https://www.aa.com.tr/tr/p/gundem 09:09"
10:18 - 22.06.2026 Anadolu Ajansı:,"""Sürdürülebilir Bir Gelecek İçin Sıfır Atık"" sergisi Taksim'de ziyaretçilerini ağırlıyor Sıfır Atık Vakfı tarafından, dünyaya örnek bir çevre hareketine dön... youtube.com ""Sürdürülebilir Bir Gelecek İçin Sıfır Atık"" sergisi Taksim'de ziyaretçilerini ağırlıyor Sıfır Atık Vakfı tarafından hazırlanan ""Sürdürülebilir Bir Gelecek İçin Sıfır Atık"" sergisi ziyaretçilerini bekliyor https://youtube.com/shorts/MMSMZjgnVfI?feature=share"
12:04 - 21.06.2026 Anadolu Ajansı:,"0:53 İskoçya'nın başkenti Edinburgh'da Müslümanları hedef alan saldırılarda 5 kişi yaralandı → Olayla ilgili 36 yaşındaki İskoç saldırgan gözaltına alındı → Şüphelinin, elindeki kesici aletle kentin çeşitli noktalarında çevreye zarar verdiği anlar görüntülere yansıdı http://v.aa.com.tr/3973408 12:04"
13:52 - 21.06.2026 Anadolu Ajansı:,"Türkiye, Mısır, Suudi Arabistan ve Pakistan Dışişleri Bakanları, bölgesel gelişmeleri ve ABD-İran mutabakatını ele almak üzere Mısır'da bir araya geldi  Görüşmede, ABD ile İran arasında savaşı durdurmaya yönelik varılan mutabakatın uygulanma süreci değerlendirilecek  Bakanlar, kritik bölgesel gelişmeler hakkında karşılıklı istişarelerde bulunacak https://v.aa.com.tr/3973531 13:52"
14:07 - 21.06.2026 Anadolu Ajansı:,"Kene ve kahverengi kokarcayla mücadele için doğaya keklik ve sülün salınacak Kene ve kahverengi kokarcayla mücadele için doğaya keklik ve sülün ... youtube.com Kene ve kahverengi kokarcayla mücadele için doğaya keklik ve sülün salınacak Tarım ve Orman Bakanı İbrahim Yumaklı:  — Bu yıl 39 bin 250 keklik ve 11 bin 750 sülün olmak üzere, toplam 51 bin kanatlıyı doğaya kazandırmayı hedefliyoruz — 62 ilde, 156 farklı alanda, keklik ve sülün salımları gerçekleştirilecek  Uygulamayla yaban hayatının desteklenmesi, ekolojik dengenin güçlendirilmesi ve zararlılarla biyolojik mücadeleye katkı sağlanması amaçlanıyor https://youtube.com/shorts/Utn83V7r_7s?feature=share"
14:38 - 21.06.2026 Anadolu Ajansı:,"0:34  Hava tahmin verilerine göre Avrupa’nın birçok bölgesinde sıcaklıkların mevsim normallerinin üzerinde seyredeceği tahmin ediliyor  İspanya, Portekiz ve Fransa'da sıcaklıkların 40 derecenin; İtalya, Almanya, İsviçre ve Balkanlar'da ise 35 derecenin üzerine çıkması öngörülüyor  Avrupa genelindeki sıcak hava dalgasının 21-30 Haziran tarihlerinde etkisini artırması bekleniyor 14:38"
